FBgn	FBtr	logFC	P.Value	adj.P.Val	sigP	mel_FBgn	vir_Symbol	mel_Symbol
FBgn0282608	FBtr0441267	5.82036399022677	1.15013943850178e-17	3.38025980975674e-14	No	NA	NA	NA
FBgn0210168	FBtr0238991	5.65282579986907	7.56288571895485e-17	1.11136605640041e-13	Yes	NA	NA	NA
FBgn0283036	FBtr0436446	6.22941977464302	9.96995913186093e-16	9.76723662951309e-13	Yes	NA	NA	NA
FBgn0282439	FBtr0442917	6.06121462181622	4.75617251466616e-15	3.49459775515096e-12	Yes	FBgn0262358	GJ26170	CG43056
FBgn0209897	FBtr0238718	2.74009923540228	2.9644911900754e-14	1.51439418256448e-11	No	FBgn0000455	GJ22793	Dip-C
FBgn0211573	FBtr0240418	4.04225705425292	3.09165195487814e-14	1.51439418256448e-11	Yes	FBgn0039568	GJ24493	CG4815
FBgn0281991	FBtr0443675	6.54676296599129	9.65800323813869e-14	4.05498164526994e-11	No	FBgn0034509	GJ25722	Obp57c
FBgn0211572	FBtr0240417	5.37732798325158	1.39752314281464e-13	5.13415064591528e-11	Yes	FBgn0039568	GJ24492	CG4815
FBgn0206811	FBtr0444189	2.99062132578154	2.17559437687422e-13	6.98325266283787e-11	Yes	FBgn0034417	GJ19669	CG15117
FBgn0205322	FBtr0234082	3.64851272479193	2.3760641928676e-13	6.98325266283787e-11	Yes	FBgn0032535	GJ18157	Ance-2
FBgn0282614	FBtr0437292	4.17136513371988	3.45980818299638e-13	8.89581912001572e-11	No	NA	NA	NA
FBgn0211755	FBtr0240603	6.55312317775988	3.86387604633137e-13	8.89581912001572e-11	Yes	FBgn0037879	GJ24678	scpr-C
FBgn0211755	FBtr0240603	6.55312317775988	3.86387604633137e-13	8.89581912001572e-11	Yes	FBgn0037888	GJ24678	scpr-B
FBgn0211755	FBtr0240603	6.55312317775988	3.86387604633137e-13	8.89581912001572e-11	Yes	FBgn0037889	GJ24678	scpr-A
FBgn0210455	FBtr0441299	4.99925780776119	6.4711788924432e-13	1.35848534034933e-10	Yes	FBgn0083966	GJ23354	CG34130
FBgn0208251	FBtr0237043	6.83665965125691	3.93486385029617e-13	8.89581912001572e-11	Yes	FBgn0054002	GJ21118	CG34002
FBgn0282038	FBtr0442707	4.43037077132229	9.78806078481319e-13	1.91780737643773e-10	Yes	NA	NA	NA
FBgn0210930	FBtr0442651	6.30266255374157	1.31974385710442e-12	2.42420449751868e-10	Yes	NA	NA	NA
FBgn0210972	FBtr0434534	6.63989454990037	1.47873904209668e-12	2.55647884983655e-10	Yes	FBgn0043825	GJ23877	CG18284
FBgn0210972	FBtr0434534	6.63989454990037	1.47873904209668e-12	2.55647884983655e-10	Yes	FBgn0051872	GJ23877	CG31872
FBgn0210972	FBtr0434534	6.63989454990037	1.47873904209668e-12	2.55647884983655e-10	Yes	FBgn0265264	GJ23877	CG17097
FBgn0282063	FBtr0439070	5.69155800306444	1.78904364986383e-12	2.92111071497211e-10	Yes	NA	NA	NA
FBgn0211069	FBtr0239907	8.73371195629172	2.08165691653248e-12	3.21999456720472e-10	Yes	FBgn0037879	GJ23982	scpr-C
FBgn0211069	FBtr0239907	8.73371195629172	2.08165691653248e-12	3.21999456720472e-10	Yes	FBgn0037888	GJ23982	scpr-B
FBgn0211069	FBtr0239907	8.73371195629172	2.08165691653248e-12	3.21999456720472e-10	Yes	FBgn0037889	GJ23982	scpr-A
FBgn0201695	FBtr0230409	2.03648541823095	2.49899870104541e-12	3.67227859118623e-10	No	FBgn0038183	GJ14484	CG9286
FBgn0211506	FBtr0240351	5.93745173686161	3.0966717501808e-12	4.3338658446578e-10	Yes	FBgn0051418	GJ24426	CG31418
FBgn0211506	FBtr0240351	5.93745173686161	3.0966717501808e-12	4.3338658446578e-10	Yes	FBgn0051419	GJ24426	CG31419
FBgn0202144	FBtr0230866	3.16726672955717	4.82901812653589e-12	6.45112921540408e-10	Yes	FBgn0033145	GJ14941	CG12828
FBgn0210483	FBtr0438144	5.15061007494475	7.49117095092391e-12	9.17356309365224e-10	Yes	FBgn0038398	GJ23382	sxe2
FBgn0197361	FBtr0225997	6.22279024982303	7.02042934956562e-12	8.97088776451016e-10	Yes	FBgn0000592	GJ10072	Est-6
FBgn0197361	FBtr0225997	6.22279024982303	7.02042934956562e-12	8.97088776451016e-10	Yes	FBgn0000594	GJ10072	Est-P
FBgn0200127	FBtr0228817	5.14667911119862	9.7805076785965e-12	1.13566545850755e-09	Yes	NA	NA	NA
