TRANSCRIPT	SEQ1	SEQ2	Ka	Ks	Ka/Ks	PROT_PERCENTID	CDNA_PERCENTID
FBtr0239345	Damr_ML95	Dnov_4	0.0000	0.0087	0.00100	100.00	99.87
FBtr0239345	Damr_ML95	Dlum_LM8	0.0017	0.0217	0.07756	99.23	98.08
FBtr0239345	Damr_ML95	Dvir_87	0.0017	0.1127	0.01501	99.23	96.79
FBtr0239345	Damr_ML95	Dmon_Oul	0.0106	0.1538	0.06922	97.69	96.15
FBtr0239345	Dnov_4	Dlum_LM8	0.0016	0.0262	0.06178	99.23	98.08
FBtr0239345	Dnov_4	Dvir_87	0.0017	0.1198	0.01391	99.23	96.79
FBtr0239345	Dnov_4	Dmon_Oul	0.0105	0.1596	0.06595	97.69	96.15
FBtr0239345	Dlum_LM8	Dvir_87	0.0001	0.0870	0.00100	99.62	97.05
FBtr0239345	Dlum_LM8	Dmon_Oul	0.0089	0.1274	0.07016	97.69	95.26
FBtr0239345	Dvir_87	Dmon_Oul	0.0088	0.1782	0.04944	97.69	94.74
FBtr0239907	Damr_ML95	Dnov_4	0.0000	0.0285	0.00100	100.00	99.37
FBtr0239907	Damr_ML95	Dlum_LM8	0.0033	0.0244	0.13528	98.87	99.12
FBtr0239907	Damr_ML95	Dvir_87	0.0033	0.0442	0.07436	98.87	98.74
FBtr0239907	Damr_ML95	Dmon_Oul	0.0118	0.1287	0.09133	96.60	96.23
FBtr0239907	Dnov_4	Dlum_LM8	0.0032	0.0330	0.09808	98.87	98.99
FBtr0239907	Dnov_4	Dvir_87	0.0032	0.0530	0.06114	98.87	98.62
FBtr0239907	Dnov_4	Dmon_Oul	0.0117	0.1362	0.08607	96.60	96.10
FBtr0239907	Dlum_LM8	Dvir_87	0.0000	0.0194	0.00100	99.62	99.50
FBtr0239907	Dlum_LM8	Dmon_Oul	0.0101	0.0990	0.10228	96.98	96.86
FBtr0239907	Dvir_87	Dmon_Oul	0.0101	0.1203	0.08391	97.36	96.60
FBtr0240351	Damr_ML95	Dnov_4	0.0063	0.0199	0.31869	98.37	98.91
FBtr0240351	Damr_ML95	Dlum_LM8	0.0264	0.0334	0.78870	93.81	96.85
FBtr0240351	Damr_ML95	Dvir_87	0.0573	0.0817	0.70073	87.95	93.59
FBtr0240351	Damr_ML95	Dmon_Oul	0.1105	0.1799	0.61419	74.59	83.71
FBtr0240351	Dnov_4	Dlum_LM8	0.0184	0.0288	0.64027	95.11	97.61
FBtr0240351	Dnov_4	Dvir_87	0.0489	0.0757	0.64554	89.58	94.46
FBtr0240351	Dnov_4	Dmon_Oul	0.1017	0.1725	0.58978	75.90	84.47
FBtr0240351	Dlum_LM8	Dvir_87	0.0545	0.0598	0.91185	87.95	93.92
FBtr0240351	Dlum_LM8	Dmon_Oul	0.1076	0.1468	0.73287	73.62	84.04
FBtr0240351	Dvir_87	Dmon_Oul	0.0931	0.1053	0.88444	77.85	85.99
FBtr0240603	Dlum_LM8	Dvir_87	0.0034	0.1375	0.02469	99.23	97.06
FBtr0240603	Dlum_LM8	Dnov_4	0.0036	0.0566	0.06376	99.23	98.21
FBtr0240603	Dlum_LM8	Damr_ML95	0.0035	0.0576	0.06009	99.23	98.47
FBtr0240603	Dlum_LM8	Dmon_Oul	0.0264	0.1710	0.15432	94.64	93.10
FBtr0240603	Dvir_87	Dnov_4	0.0067	0.1720	0.03921	98.47	96.55
FBtr0240603	Dvir_87	Damr_ML95	0.0066	0.1764	0.03760	98.47	96.81
FBtr0240603	Dvir_87	Dmon_Oul	0.0290	0.2288	0.12665	93.87	92.72
FBtr0240603	Dnov_4	Damr_ML95	0.0033	0.0253	0.13111	99.23	99.23
FBtr0240603	Dnov_4	Dmon_Oul	0.0266	0.1751	0.15191	94.25	93.10
FBtr0240603	Damr_ML95	Dmon_Oul	0.0229	0.1705	0.13408	95.02	93.49
FBtr0434534	Damr_ML95	Dnov_4	0.0024	0.0124	0.19626	98.39	98.66
FBtr0434534	Damr_ML95	Dlum_LM8	0.0188	0.0506	0.37230	91.57	94.11
FBtr0434534	Damr_ML95	Dvir_87	0.0188	0.0506	0.37230	92.10	94.33
FBtr0434534	Damr_ML95	Dmon_Oul	0.0613	0.1614	0.37980	77.24	81.30
FBtr0434534	Dnov_4	Dlum_LM8	0.0211	0.0491	0.43084	91.70	94.56
FBtr0434534	Dnov_4	Dvir_87	0.0211	0.0491	0.43084	92.24	94.78
FBtr0434534	Dnov_4	Dmon_Oul	0.0619	0.1582	0.39126	77.64	81.88
FBtr0434534	Dlum_LM8	Dvir_87	0.0000	0.0000	0.36604	95.85	97.59
FBtr0434534	Dlum_LM8	Dmon_Oul	0.0543	0.1212	0.44850	78.45	82.37
FBtr0434534	Dvir_87	Dmon_Oul	0.0543	0.1212	0.44851	79.38	83.27
FBtr0442442	Damr_ML95	Dnov_4	0.0034	0.0575	0.06000	99.05	98.57
FBtr0442442	Damr_ML95	Dvir_87	0.0066	0.0279	0.23800	94.51	96.26
FBtr0442442	Damr_ML95	Dlum_LM8	0.0066	0.0278	0.23872	93.08	95.47
FBtr0442442	Dnov_4	Dvir_87	0.0034	0.0617	0.05479	95.23	95.94
FBtr0442442	Dnov_4	Dlum_LM8	0.0034	0.0615	0.05500	93.79	95.15
FBtr0442442	Dvir_87	Dlum_LM8	0.0023	0.0082	0.27936	94.03	96.18
