TRANSCRIPT	SEQ1	SEQ2	Ka	Ks	Ka/Ks	PROT_PERCENTID	CDNA_PERCENTID
FBtr0225976	Damr_ML95	Dnov_4	0.0000	0.0177	0.00100	100.00	99.75
FBtr0225996	Damr_ML95	Dnov_4	0.0000	0.0102	0.00100	100.00	99.64
FBtr0226033	Damr_ML95	Dnov_4	0.0000	0.0157	0.00100	100.00	99.60
FBtr0226054	Damr_ML95	Dnov_4	0.0016	0.0158	0.09863	99.50	99.09
FBtr0226465	Damr_ML95	Dnov_4	0.0000	0.0000	0.00100	100.00	99.57
FBtr0226616	Damr_ML95	Dnov_4	0.0013	0.0229	0.05571	99.51	99.27
FBtr0226643	Damr_ML95	Dnov_4	0.0019	0.0499	0.03855	99.64	98.33
FBtr0226698	Damr_ML95	Dnov_4	0.0000	0.0043	0.00100	100.00	99.48
FBtr0226910	Damr_ML95	Dnov_4	0.0085	0.0308	0.27623	98.51	98.69
FBtr0226955	Damr_ML95	Dnov_4	0.0243	0.0111	2.20002	94.12	96.95
FBtr0226996	Damr_ML95	Dnov_4	0.0037	0.0255	0.14612	99.28	99.20
FBtr0227258	Damr_ML95	Dnov_4	0.0021	0.0322	0.06647	99.56	99.26
FBtr0227810	Damr_ML95	Dnov_4	0.0012	0.0330	0.03564	99.75	98.84
FBtr0228817	Damr_ML95	Dnov_4	0.0037	0.0249	0.14725	99.29	99.17
FBtr0229014	Damr_ML95	Dnov_4	0.0032	0.0431	0.07344	99.58	98.60
FBtr0229230	Damr_ML95	Dnov_4	0.0017	0.0128	0.13626	99.71	99.32
FBtr0229345	Damr_ML95	Dnov_4	0.0016	0.0098	0.16086	99.54	99.54
FBtr0229827	Damr_ML95	Dnov_4	0.0006	0.0426	0.01459	99.87	98.88
FBtr0230122	Damr_ML95	Dnov_4	0.0008	0.0464	0.01655	99.84	98.95
FBtr0230151	Damr_ML95	Dnov_4	0.0017	0.0320	0.05298	99.78	99.07
FBtr0230291	Damr_ML95	Dnov_4	0.0059	0.0190	0.30864	98.75	99.17
FBtr0230409	Damr_ML95	Dnov_4	0.0111	0.0327	0.33842	97.17	97.90
