TRANSCRIPT	SEQ1	SEQ2	Ka	Ks	Ka/Ks	PROT_PERCENTID	CDNA_PERCENTID
FBtr0070058	Dsec	Dsim	0.0019	0.0175	0.10635	99.57	99.49
FBtr0070058	Dsec	Dmel	0.0077	0.1035	0.07474	98.27	97.19
FBtr0070058	Dsec	Dyak	0.0176	0.2535	0.06927	96.43	93.76
FBtr0070058	Dsec	Dere	0.0237	0.2706	0.08759	94.91	92.97
FBtr0070058	Dsec	Dana	0.0568	1.8093	0.03141	88.84	81.04
FBtr0070058	Dsim	Dmel	0.0087	0.0980	0.08903	98.05	97.22
FBtr0070058	Dsim	Dyak	0.0176	0.2456	0.07160	96.43	93.87
FBtr0070058	Dsim	Dere	0.0231	0.2718	0.08488	95.02	93.04
FBtr0070058	Dsim	Dana	0.0563	1.7981	0.03131	88.95	81.11
FBtr0070058	Dmel	Dyak	0.0165	0.2711	0.06073	96.54	93.61
FBtr0070058	Dmel	Dere	0.0231	0.2832	0.08173	95.02	92.82
FBtr0070058	Dmel	Dana	0.0561	1.8802	0.02986	89.06	81.04
FBtr0070058	Dyak	Dere	0.0186	0.2375	0.07820	96.00	93.90
FBtr0070058	Dyak	Dana	0.0533	1.8519	0.02881	89.71	81.29
FBtr0070058	Dere	Dana	0.0564	1.8482	0.03051	89.17	80.68
FBtr0070059	Dsec	Dsim	0.0019	0.0175	0.10635	99.57	99.49
FBtr0070059	Dsec	Dmel	0.0077	0.1035	0.07474	98.27	97.19
FBtr0070059	Dsec	Dyak	0.0176	0.2535	0.06927	96.43	93.76
FBtr0070059	Dsec	Dere	0.0237	0.2706	0.08759	94.91	92.97
FBtr0070059	Dsec	Dana	0.0568	1.8093	0.03141	88.84	81.04
FBtr0070059	Dsim	Dmel	0.0087	0.0980	0.08903	98.05	97.22
FBtr0070059	Dsim	Dyak	0.0176	0.2456	0.07160	96.43	93.87
FBtr0070059	Dsim	Dere	0.0231	0.2718	0.08488	95.02	93.04
FBtr0070059	Dsim	Dana	0.0563	1.7981	0.03131	88.95	81.11
FBtr0070059	Dmel	Dyak	0.0165	0.2711	0.06073	96.54	93.61
FBtr0070059	Dmel	Dere	0.0231	0.2832	0.08173	95.02	92.82
FBtr0070059	Dmel	Dana	0.0561	1.8802	0.02986	89.06	81.04
FBtr0070059	Dyak	Dere	0.0186	0.2375	0.07820	96.00	93.90
FBtr0070059	Dyak	Dana	0.0533	1.8519	0.02881	89.71	81.29
FBtr0070059	Dere	Dana	0.0564	1.8482	0.03051	89.17	80.68
FBtr0070060	Dsec	Dsim	0.0019	0.0175	0.10635	99.57	99.49
FBtr0070060	Dsec	Dmel	0.0077	0.1035	0.07474	98.27	97.19
FBtr0070060	Dsec	Dyak	0.0176	0.2535	0.06927	96.43	93.76
FBtr0070060	Dsec	Dere	0.0237	0.2706	0.08759	94.91	92.97
FBtr0070060	Dsec	Dana	0.0568	1.8093	0.03141	88.84	81.04
FBtr0070060	Dsim	Dmel	0.0087	0.0980	0.08903	98.05	97.22
FBtr0070060	Dsim	Dyak	0.0176	0.2456	0.07160	96.43	93.87
FBtr0070060	Dsim	Dere	0.0231	0.2718	0.08488	95.02	93.04
FBtr0070060	Dsim	Dana	0.0563	1.7981	0.03131	88.95	81.11
FBtr0070060	Dmel	Dyak	0.0165	0.2711	0.06073	96.54	93.61
FBtr0070060	Dmel	Dere	0.0231	0.2832	0.08173	95.02	92.82
FBtr0070060	Dmel	Dana	0.0561	1.8802	0.02986	89.06	81.04
FBtr0070060	Dyak	Dere	0.0186	0.2375	0.07820	96.00	93.90
FBtr0070060	Dyak	Dana	0.0533	1.8519	0.02881	89.71	81.29
FBtr0070060	Dere	Dana	0.0564	1.8482	0.03051	89.17	80.68
FBtr0070061	Dsec	Dsim	0.0019	0.0175	0.10635	99.57	99.49
FBtr0070061	Dsec	Dmel	0.0077	0.1035	0.07474	98.27	97.19
FBtr0070061	Dsec	Dyak	0.0176	0.2535	0.06927	96.43	93.76
FBtr0070061	Dsec	Dere	0.0237	0.2706	0.08759	94.91	92.97
FBtr0070061	Dsec	Dana	0.0568	1.8093	0.03141	88.84	81.04
FBtr0070061	Dsim	Dmel	0.0087	0.0980	0.08903	98.05	97.22
FBtr0070061	Dsim	Dyak	0.0176	0.2456	0.07160	96.43	93.87
FBtr0070061	Dsim	Dere	0.0231	0.2718	0.08488	95.02	93.04
FBtr0070061	Dsim	Dana	0.0563	1.7981	0.03131	88.95	81.11
FBtr0070061	Dmel	Dyak	0.0165	0.2711	0.06073	96.54	93.61
FBtr0070061	Dmel	Dere	0.0231	0.2832	0.08173	95.02	92.82
FBtr0070061	Dmel	Dana	0.0561	1.8802	0.02986	89.06	81.04
FBtr0070061	Dyak	Dere	0.0186	0.2375	0.07820	96.00	93.90
FBtr0070061	Dyak	Dana	0.0533	1.8519	0.02881	89.71	81.29
FBtr0070061	Dere	Dana	0.0564	1.8482	0.03051	89.17	80.68
FBtr0070062	Dsec	Dsim	0.0019	0.0175	0.10635	99.57	99.49
FBtr0070062	Dsec	Dmel	0.0077	0.1035	0.07474	98.27	97.19
FBtr0070062	Dsec	Dyak	0.0176	0.2535	0.06927	96.43	93.76
FBtr0070062	Dsec	Dere	0.0237	0.2706	0.08759	94.91	92.97
FBtr0070062	Dsec	Dana	0.0568	1.8093	0.03141	88.84	81.04
FBtr0070062	Dsim	Dmel	0.0087	0.0980	0.08903	98.05	97.22
FBtr0070062	Dsim	Dyak	0.0176	0.2456	0.07160	96.43	93.87
FBtr0070062	Dsim	Dere	0.0231	0.2718	0.08488	95.02	93.04
FBtr0070062	Dsim	Dana	0.0563	1.7981	0.03131	88.95	81.11
FBtr0070062	Dmel	Dyak	0.0165	0.2711	0.06073	96.54	93.61
FBtr0070062	Dmel	Dere	0.0231	0.2832	0.08173	95.02	92.82
FBtr0070062	Dmel	Dana	0.0561	1.8802	0.02986	89.06	81.04
FBtr0070062	Dyak	Dere	0.0186	0.2375	0.07820	96.00	93.90
FBtr0070062	Dyak	Dana	0.0533	1.8519	0.02881	89.71	81.29
FBtr0070062	Dere	Dana	0.0564	1.8482	0.03051	89.17	80.68
FBtr0070163	Dsec	Dsim	0.0055	0.0252	0.21791	98.82	98.95
FBtr0070163	Dsec	Dmel	0.0295	0.1539	0.19173	93.70	94.36
FBtr0070163	Dsec	Dere	0.1286	0.4431	0.29018	77.08	83.53
FBtr0070163	Dsim	Dmel	0.0279	0.1632	0.17112	94.09	94.23
FBtr0070163	Dsim	Dere	0.1271	0.4513	0.28155	77.47	83.53
FBtr0070163	Dmel	Dere	0.1280	0.4684	0.27323	77.87	83.14
FBtr0070411	Dsec	Dsim	0.0024	0.0258	0.09275	99.46	99.24
FBtr0070411	Dsec	Dmel	0.0065	0.1076	0.06044	98.48	97.47
FBtr0070411	Dsec	Dere	0.0198	0.2757	0.07184	95.66	93.30
FBtr0070411	Dsec	Dyak	0.0157	0.3781	0.04158	96.63	92.32
FBtr0070411	Dsec	Dana	0.0997	1.7366	0.05739	82.75	78.63
FBtr0070411	Dsim	Dmel	0.0061	0.1152	0.05269	98.59	97.33
FBtr0070411	Dsim	Dere	0.0193	0.2764	0.06982	95.77	93.34
FBtr0070411	Dsim	Dyak	0.0153	0.3879	0.03934	96.74	92.21
FBtr0070411	Dsim	Dana	0.0997	1.7268	0.05772	82.75	78.78
FBtr0070411	Dmel	Dere	0.0221	0.3191	0.06923	95.22	92.62
FBtr0070411	Dmel	Dyak	0.0167	0.4085	0.04090	96.41	91.85
FBtr0070411	Dmel	Dana	0.1003	1.7032	0.05892	82.75	78.52
FBtr0070411	Dere	Dyak	0.0239	0.2526	0.09468	94.90	93.56
FBtr0070411	Dere	Dana	0.1043	1.5706	0.06638	82.12	78.73
FBtr0070411	Dyak	Dana	0.0959	1.5487	0.06195	83.26	79.75
FBtr0070836	Dmel	Dsec	0.0097	0.1039	0.09333	97.75	97.23
FBtr0070836	Dmel	Dsim	0.0058	0.0832	0.06980	98.64	97.96
FBtr0070836	Dmel	Dere	0.0118	0.2153	0.05501	97.30	95.12
FBtr0070836	Dmel	Dyak	0.0147	0.2607	0.05641	96.85	94.22
FBtr0070836	Dmel	Dana	0.0867	2.6999	0.03213	84.23	79.73
FBtr0070836	Dsec	Dsim	0.0040	0.0604	0.06579	99.10	98.42
FBtr0070836	Dsec	Dere	0.0159	0.2360	0.06734	96.17	94.44
FBtr0070836	Dsec	Dyak	0.0167	0.2698	0.06186	96.17	93.92
FBtr0070836	Dsec	Dana	0.0868	2.5988	0.03341	84.23	79.73
FBtr0070836	Dsim	Dere	0.0118	0.2168	0.05453	97.29	95.17
FBtr0070836	Dsim	Dyak	0.0126	0.2564	0.04932	97.29	94.57
FBtr0070836	Dsim	Dana	0.0854	2.5508	0.03349	84.35	80.05
FBtr0070836	Dere	Dyak	0.0139	0.1906	0.07307	96.85	95.35
FBtr0070836	Dere	Dana	0.0834	2.3591	0.03536	84.88	80.29
FBtr0070836	Dyak	Dana	0.0837	2.6030	0.03217	85.10	79.76
FBtr0071249	Dsec	Dsim	0.0027	0.0633	0.04346	99.04	98.55
FBtr0071249	Dsec	Dmel	0.0042	0.1597	0.02626	98.71	96.62
FBtr0071249	Dsec	Dere	0.0136	0.2492	0.05466	96.93	94.66
FBtr0071249	Dsec	Dyak	0.0166	0.3026	0.05472	96.38	93.86
FBtr0071249	Dsec	Dana	0.0674	2.3320	0.02889	87.97	80.87
FBtr0071249	Dsim	Dmel	0.0014	0.1483	0.00944	99.52	97.00
FBtr0071249	Dsim	Dere	0.0107	0.2457	0.04369	97.57	94.93
FBtr0071249	Dsim	Dyak	0.0136	0.3074	0.04439	97.04	94.02
FBtr0071249	Dsim	Dana	0.0645	2.0648	0.03125	88.46	81.52
FBtr0071249	Dmel	Dere	0.0108	0.3182	0.03385	97.57	93.80
FBtr0071249	Dmel	Dyak	0.0136	0.3824	0.03566	96.88	92.93
FBtr0071249	Dmel	Dana	0.0644	2.1698	0.02968	88.62	80.70
FBtr0071249	Dere	Dyak	0.0092	0.2953	0.03129	98.19	94.46
FBtr0071249	Dere	Dana	0.0609	2.2112	0.02753	88.78	81.25
FBtr0071249	Dyak	Dana	0.0623	2.4264	0.02567	88.98	80.92
FBtr0071307	Dsec	Dsim	0.0058	0.0661	0.08780	98.74	98.11
FBtr0071307	Dsec	Dmel	0.0201	0.1949	0.10304	95.60	94.76
FBtr0071307	Dsec	Dyak	0.0457	0.2705	0.16904	89.24	91.56
FBtr0071307	Dsec	Dere	0.0979	0.3923	0.24968	80.13	86.75
FBtr0071307	Dsim	Dmel	0.0147	0.2051	0.07146	96.86	94.76
FBtr0071307	Dsim	Dyak	0.0407	0.2834	0.14352	90.51	91.56
FBtr0071307	Dsim	Dere	0.0926	0.4320	0.21440	81.41	86.54
FBtr0071307	Dmel	Dyak	0.0503	0.3776	0.13315	88.61	89.45
FBtr0071307	Dmel	Dere	0.0892	0.4936	0.18066	82.69	85.90
FBtr0071307	Dyak	Dere	0.0970	0.4213	0.23025	80.89	86.41
