TRANSCRIPT	SEQ1	SEQ2	Ka	Ks	Ka/Ks	PROT_PERCENTID	CDNA_PERCENTID
FBtr0227258	Damr_H5	Damr_w11	0.0000	0.0048	0.00100	99.56	99.56
FBtr0227258	Damr_H5	Damr_ML95	0.0022	0.0379	0.05813	99.56	99.12
FBtr0227258	Damr_H5	Dnov_4	0.0043	0.0105	0.40816	99.12	99.26
FBtr0227258	Damr_H5	Dlum_LM8	0.0194	0.0444	0.43735	94.69	96.31
FBtr0227258	Damr_H5	Dvir_S9	0.0410	0.0808	0.50761	91.59	94.54
FBtr0227258	Damr_H5	Dvir_87	0.0450	0.0684	0.65834	91.15	94.54
FBtr0227258	Damr_H5	Dmon_Col	0.0840	0.1594	0.52732	73.45	81.12
FBtr0227258	Damr_H5	Dmon_Oul	0.0815	0.1589	0.51319	74.34	81.42
FBtr0227258	Damr_H5	Dmon_Van	0.0809	0.1752	0.46153	75.66	83.33
FBtr0227258	Damr_w11	Damr_ML95	0.0021	0.0322	0.06643	99.12	98.97
FBtr0227258	Damr_w11	Dnov_4	0.0041	0.0000	99.00000	98.67	99.41
FBtr0227258	Damr_w11	Dlum_LM8	0.0191	0.0355	0.53861	94.25	96.46
FBtr0227258	Damr_w11	Dvir_S9	0.0408	0.0732	0.55822	92.04	94.99
FBtr0227258	Damr_w11	Dvir_87	0.0448	0.0604	0.74229	91.59	94.99
FBtr0227258	Damr_w11	Dmon_Col	0.0839	0.1495	0.56097	73.45	81.42
FBtr0227258	Damr_w11	Dmon_Oul	0.0814	0.1491	0.54596	74.34	81.71
FBtr0227258	Damr_w11	Dmon_Van	0.0807	0.1652	0.48833	75.66	83.63
FBtr0227258	Damr_ML95	Dnov_4	0.0021	0.0322	0.06647	99.56	99.26
FBtr0227258	Damr_ML95	Dlum_LM8	0.0172	0.0679	0.25394	95.13	96.31
FBtr0227258	Damr_ML95	Dvir_S9	0.0396	0.0752	0.52696	92.04	94.84
FBtr0227258	Damr_ML95	Dvir_87	0.0436	0.0636	0.68626	91.59	94.84
FBtr0227258	Damr_ML95	Dmon_Col	0.0825	0.1532	0.53811	73.89	81.27
FBtr0227258	Damr_ML95	Dmon_Oul	0.0800	0.1525	0.52430	74.78	81.71
FBtr0227258	Damr_ML95	Dmon_Van	0.0792	0.1684	0.47039	76.11	83.63
FBtr0227258	Dnov_4	Dlum_LM8	0.0191	0.0356	0.53803	94.69	96.76
FBtr0227258	Dnov_4	Dvir_S9	0.0408	0.0736	0.55453	91.59	94.99
FBtr0227258	Dnov_4	Dvir_87	0.0447	0.0607	0.73758	91.15	94.99
FBtr0227258	Dnov_4	Dmon_Col	0.0838	0.1501	0.55792	73.45	81.42
FBtr0227258	Dnov_4	Dmon_Oul	0.0813	0.1497	0.54297	74.34	81.86
FBtr0227258	Dnov_4	Dmon_Van	0.0806	0.1659	0.48578	75.66	83.78
FBtr0227258	Dlum_LM8	Dvir_S9	0.0403	0.0800	0.50434	90.71	93.66
FBtr0227258	Dlum_LM8	Dvir_87	0.0445	0.0688	0.64657	90.27	93.66
FBtr0227258	Dlum_LM8	Dmon_Col	0.0846	0.1226	0.69030	73.45	81.27
FBtr0227258	Dlum_LM8	Dmon_Oul	0.0822	0.1218	0.67461	74.34	81.12
FBtr0227258	Dlum_LM8	Dmon_Van	0.0813	0.1357	0.59896	75.22	83.19
FBtr0227258	Dvir_S9	Dvir_87	0.0073	0.0280	0.26104	99.12	98.97
FBtr0227258	Dvir_S9	Dmon_Col	0.0668	0.1682	0.39695	78.32	82.60
FBtr0227258	Dvir_S9	Dmon_Oul	0.0690	0.1705	0.40484	77.88	82.45
FBtr0227258	Dvir_S9	Dmon_Van	0.0684	0.1863	0.36710	79.20	83.78
FBtr0227258	Dvir_87	Dmon_Col	0.0647	0.1585	0.40824	78.32	82.89
FBtr0227258	Dvir_87	Dmon_Oul	0.0670	0.1608	0.41641	77.88	82.74
FBtr0227258	Dvir_87	Dmon_Van	0.0662	0.1774	0.37351	79.20	84.07
FBtr0227258	Dmon_Col	Dmon_Oul	0.0021	0.0000	99.00000	92.04	92.04
FBtr0227258	Dmon_Col	Dmon_Van	0.0021	0.0129	0.15967	88.50	88.64
FBtr0227258	Dmon_Oul	Dmon_Van	0.0000	0.0127	0.00100	93.81	94.10
