TRANSCRIPT	SEQ1	SEQ2	Ka	Ks	Ka/Ks	PROT_PERCENTID	CDNA_PERCENTID
FBtr0225997	Dlum_LM8	Dvir_87	0.0000	0.0019	0.00100	99.10	99.16
FBtr0225997	Dlum_LM8	Damr_ML95	0.0096	0.0993	0.09674	97.11	96.20
FBtr0225997	Dlum_LM8	Dnov_4	0.0086	0.0971	0.08871	97.29	96.38
FBtr0225997	Dlum_LM8	Dmon_Oul	0.0229	0.1899	0.12045	94.39	92.89
FBtr0225997	Dvir_87	Damr_ML95	0.0096	0.0969	0.09901	97.11	96.32
FBtr0225997	Dvir_87	Dnov_4	0.0086	0.0947	0.09081	97.29	96.50
FBtr0225997	Dvir_87	Dmon_Oul	0.0229	0.1871	0.12217	94.39	93.01
FBtr0225997	Damr_ML95	Dnov_4	0.0008	0.0204	0.04142	99.82	99.46
FBtr0225997	Damr_ML95	Dmon_Oul	0.0254	0.1951	0.13032	94.76	93.31
FBtr0225997	Dnov_4	Dmon_Oul	0.0244	0.1892	0.12873	94.94	93.55
